team_id,team_name,abbreviation,country,color
2869,Morocco,MAR,Morocco,009060
8601,Comoros,COM,Comoros,3d8e33
2849,Mali,MLI,Mali,14b53a
4277,Zambia,ZAM,Zambia,00843d
467,South Africa,RSA,South Africa,087d5a
653,Angola,ANG,Angola,BE0027
2620,Egypt,EGY,Egypt,D20300
4214,Zimbabwe,ZIM,Zimbabwe,FFFF00
2850,Congo DR,COD,Congo DR,418fde
2844,Benin,BEN,Benin,008751
654,Senegal,SEN,Senegal,00853f
4245,Botswana,BOT,Botswana,0099ff
657,Nigeria,NGA,Nigeria,008751
5778,Tanzania,TAN,Tanzania,0033a0
659,Tunisia,TUN,Tunisia,D20300
4211,Uganda,UGA,Uganda,FCDC04
2845,Burkina Faso,BKA,Burkina Faso,008000
8938,Equatorial Guinea,EQG,Equatorial Guinea,d50032
624,Algeria,ALG,Algeria,5bbd19
4319,Sudan,SUD,Sudan,D20300
4789,Ivory Coast,CIV,Ivory Coast,d48c00
8939,Mozambique,MOZ,Mozambique,D20300
656,Cameroon,CMR,Cameroon,197b63
4231,Gabon,GAB,Gabon,00843d
