match_id,team_id,team_name,home_away,score,winner,advance,group_name,points,opponent_score,fouls_committed,yellow_cards,red_cards,offsides,won_corners,saves,possession_pct,total_shots,shots_on_target,shot_pct,penalty_kick_goals,penalty_kick_shots,accurate_passes,total_passes,pass_pct,accurate_crosses,total_crosses,cross_pct,total_long_balls,accurate_long_balls,longball_pct,blocked_shots,effective_tackles,total_tackles,tackle_pct,interceptions,effective_clearance,total_clearance
732133,2869,Morocco,home,2,True,True,Group A,3,0.0,19,3,0,2,5,2,69.8,16,7,0.4,0,1,582,648,0.9,5,29,0.2,35,17,0.5,5,8,12,0.7,6,7,7
732133,8601,Comoros,away,0,False,False,Group A,0,2.0,20,1,0,4,0,5,30.2,4,2,0.5,0,0,217,285,0.8,0,4,0.0,34,9,0.3,0,9,16,0.6,12,34,34
732134,2849,Mali,home,1,False,False,Group A,1,1.0,15,1,0,0,6,1,52.9,15,5,0.3,0,1,350,425,0.8,3,15,0.2,46,17,0.4,5,12,20,0.6,8,24,24
732134,4277,Zambia,away,1,False,False,Group A,1,1.0,13,1,0,2,5,4,47.1,7,2,0.3,0,0,301,375,0.8,4,16,0.3,58,24,0.4,2,7,16,0.4,7,23,23
732136,467,South Africa,home,2,True,True,Group B,3,1.0,17,2,0,1,1,3,57.5,10,4,0.4,0,0,390,458,0.9,4,9,0.4,58,27,0.5,2,7,10,0.7,3,26,26
732136,653,Angola,away,1,False,False,Group B,0,2.0,23,2,0,1,9,2,42.5,10,4,0.4,0,0,255,318,0.8,9,27,0.3,46,19,0.4,5,3,7,0.4,10,16,16
732135,2620,Egypt,home,2,True,True,Group B,3,1.0,13,2,0,3,8,2,77.5,35,11,0.3,0,0,600,682,0.9,13,30,0.4,50,33,0.7,10,5,7,0.7,7,28,28
732135,4214,Zimbabwe,away,1,False,False,Group B,0,2.0,15,2,0,1,3,9,22.5,8,3,0.4,0,0,111,197,0.6,3,12,0.3,59,18,0.3,1,10,19,0.5,10,37,37
732137,2850,Congo DR,home,1,True,True,Group D,3,0.0,16,3,0,1,5,2,40.1,11,3,0.3,0,0,224,301,0.7,4,18,0.2,47,19,0.4,3,6,16,0.4,6,28,28
732137,2844,Benin,away,0,False,False,Group D,0,1.0,11,3,0,0,5,2,59.9,12,2,0.2,0,0,380,453,0.8,5,25,0.2,72,35,0.5,0,12,16,0.8,6,21,21
732139,654,Senegal,home,3,True,True,Group D,3,0.0,16,1,0,1,7,0,67.8,28,17,0.6,0,0,582,641,0.9,7,28,0.3,23,10,0.4,5,5,12,0.4,6,14,14
732139,4245,Botswana,away,0,False,False,Group D,0,3.0,7,2,0,5,2,14,32.2,4,0,0.0,0,0,237,309,0.8,2,8,0.3,66,37,0.6,1,4,16,0.3,4,29,29
732138,657,Nigeria,home,2,True,True,Group C,3,1.0,23,1,0,1,6,2,59.1,21,11,0.5,0,0,451,507,0.9,6,28,0.2,41,25,0.6,3,8,14,0.6,5,13,13
732138,5778,Tanzania,away,1,False,False,Group C,0,2.0,7,0,0,2,6,8,40.9,11,3,0.3,0,0,276,348,0.8,7,16,0.4,48,18,0.4,3,11,21,0.5,7,32,32
732140,659,Tunisia,home,3,True,True,Group C,3,1.0,15,1,0,0,8,0,48.8,15,6,0.4,0,0,344,424,0.8,7,17,0.4,41,21,0.5,3,8,14,0.6,10,25,25
732140,4211,Uganda,away,1,False,False,Group C,0,3.0,15,2,0,1,2,3,51.2,9,1,0.1,0,0,363,447,0.8,1,11,0.1,52,21,0.4,3,14,21,0.7,8,28,28
732142,2845,Burkina Faso,home,2,True,True,Group E,3,1.0,16,1,0,2,9,0,66.8,16,5,0.3,0,0,412,481,0.9,7,25,0.3,40,22,0.6,5,9,19,0.5,4,17,17
732142,8938,Equatorial Guinea,away,1,False,False,Group E,0,2.0,12,1,1,1,3,3,33.2,5,1,0.2,0,0,174,241,0.7,1,10,0.1,63,24,0.4,0,9,13,0.7,8,28,28
732143,624,Algeria,home,3,True,True,Group E,3,0.0,16,0,0,3,11,2,58.0,14,7,0.5,0,0,405,460,0.9,3,24,0.1,45,19,0.4,2,7,13,0.5,13,9,9
732143,4319,Sudan,away,0,False,False,Group E,0,3.0,9,1,1,2,1,4,42.0,5,2,0.4,0,0,271,339,0.8,4,10,0.4,50,17,0.3,0,8,14,0.6,11,20,20
732144,4789,Ivory Coast,home,1,True,True,Group F,3,0.0,17,1,0,0,9,2,54.1,15,5,0.3,0,0,486,530,0.9,6,25,0.2,33,23,0.7,3,13,13,1.0,7,10,10
