Team,Stat,Value
Zambia,Fouls,23
Zambia,Yellow Cards,4
Zambia,Red Cards,1
Zambia,Offsides,2
Zambia,Corner Kicks,1
Zambia,Saves,6
Zambia,Possession,43.1
Zambia,SHOTS,5
Zambia,ON GOAL,0
Zambia,On Target %,0.0
Zambia,Penalty Goals,0
Zambia,Penalty Kicks Taken,0
Zambia,Accurate Passes,296
Zambia,Passes,352
Zambia,Pass Completion %,0.8
Zambia,Accurate Crosses,1
Zambia,Crosses,7
Zambia,Cross %,0.1
Zambia,Long Balls,47
Zambia,Accurate Long Balls,21
Zambia,Long Balls %,0.4
Zambia,Blocked Shots,1
Zambia,Effective Tackles,8
Zambia,Tackles,19
Zambia,Tackle %,0.4
Zambia,Interceptions,10
Zambia,Effective Clearances,29
Zambia,Clearances,29
Morocco,Fouls,12
Morocco,Yellow Cards,1
Morocco,Red Cards,0
Morocco,Offsides,4
Morocco,Corner Kicks,5
Morocco,Saves,0
Morocco,Possession,56.9
Morocco,SHOTS,19
Morocco,ON GOAL,9
Morocco,On Target %,0.5
Morocco,Penalty Goals,0
Morocco,Penalty Kicks Taken,0
Morocco,Accurate Passes,417
Morocco,Passes,465
Morocco,Pass Completion %,0.9
Morocco,Accurate Crosses,3
Morocco,Crosses,12
Morocco,Cross %,0.3
Morocco,Long Balls,36
Morocco,Accurate Long Balls,22
Morocco,Long Balls %,0.6
Morocco,Blocked Shots,3
Morocco,Effective Tackles,14
Morocco,Tackles,15
Morocco,Tackle %,0.9
Morocco,Interceptions,7
Morocco,Effective Clearances,14
Morocco,Clearances,14
